2480,CLOSED,Python 3.12 break f string inside Snakemake,bug,2024-01-25T13:32:11Z
2478,OPEN,mem_mb not allocating memory as expected (version 7.32.4),bug,2023-10-25T11:04:48Z
2477,CLOSED,`--cluster-status` not compatible with `--slurm`?,bug,2024-05-06T09:03:35Z
2475,OPEN,'inf' value cannot pass to R script,bug,2023-10-11T02:46:13Z
2473,CLOSED,On windows, the new storage plugin functionality seems to fail to properly match s3 objects between input and output of rules,bug, help wanted,2023-11-21T20:20:54Z
2472,OPEN,Rule with Nextflow workflow not being executed concurrently for multiple samples on SLURM,bug,2023-10-08T09:35:07Z
2471,CLOSED,Snakemake prints job information multiple times,bug,2023-10-08T09:40:12Z
2470,OPEN,Using formated wildcards in output leads to MissingInputException,bug,2023-10-05T14:00:11Z
2468,OPEN,DeprecationWarning when using `snakemake.utils.validate`,bug,2023-10-03T12:04:21Z
2466,CLOSED,lazy_property missing in snakemake_executor_plugin_interface,bug,2023-12-08T02:01:18Z
2465,OPEN,`snakemake --lint` improperly flags `+` in `wildcard_constraints` regex,bug,2023-09-30T13:11:02Z
2464,OPEN,Allow specification of when temp files are deleted,enhancement,2024-03-06T09:16:38Z
2463,OPEN,In-snakefile style conda env and schema,enhancement,2023-10-03T11:23:09Z
2462,OPEN,Request for slightly more documentation/guidance in the distribution & reproducibility docs,enhancement,2023-09-28T16:18:38Z
2459,OPEN,Python 3.12 can not parse mixing tabs and spaces as indentation,bug,2024-01-02T15:18:09Z
2458,OPEN,Print `--cluster` command for each execution when run with `--verbose`,enhancement,2023-09-27T06:36:15Z
2457,OPEN,Wildcards not present in group job properties,bug,2023-09-26T11:59:55Z
2455,OPEN,Wildcards in input files cannot be determined from output files: 'sample',bug,2023-10-05T04:18:23Z
2451,OPEN,Google life sciences executor down,bug,2023-11-23T22:19:22Z
2447,OPEN,Executing with --slurm always runs tasks with 1 core,bug,2024-02-29T11:04:09Z
2446,OPEN,Service rules on different nodes than their consumers,enhancement,2023-09-15T23:01:58Z
2445,OPEN,Add support for specifying rule timeouts,enhancement,2023-09-15T17:18:22Z
2443,OPEN,Load envmodules when using Rscript,enhancement,2023-09-13T15:15:31Z
2442,OPEN,snakemake-tutorial software setup leads to conflict,bug, documentation,2023-09-12T13:47:21Z
2441,OPEN,more control on the retry behaviour,enhancement,2023-10-09T19:44:53Z
2439,OPEN,WorkflowError with empty `--configfile=config.yaml`,,2023-09-10T17:48:15Z
2438,OPEN,Proposal: Respect semantic versioning requirements or stop using it,enhancement,2023-09-09T10:47:20Z
2437,OPEN,Alternate way to check Torque jobs,enhancement,2023-09-09T07:39:05Z
2436,OPEN,HTTPRemote checks for wrong value of `insecure` when using `http://`,bug,2023-09-08T09:38:56Z
2435,CLOSED,MissingOutputException error in snakemake,bug,2023-09-11T07:32:30Z
2434,OPEN,Setting `workflow.use_conda = True` in Snakefile stopped working,bug,2023-09-09T10:27:39Z
2433,OPEN,Add zsh completion,enhancement,2023-09-07T06:04:43Z
2431,CLOSED,snakemake parse a wrong int like parameter.,bug,2023-09-07T04:15:21Z
2430,OPEN,Wrong number of threads with dry-run,bug,2023-08-31T17:53:29Z
2429,OPEN,UnicodeDecodeError,bug,2023-08-31T15:17:55Z
2428,CLOSED,Frequency of workflow catalogue stats updates,,2023-11-27T15:46:45Z
2427,OPEN,Non-html report,enhancement,2023-08-29T09:27:38Z
2426,OPEN,The latest snakemake-interface-executor-plugins release will cause snakemake import error,bug,2023-08-31T07:56:57Z
2423,OPEN,cannot set tmpdir default resource on SLURM,bug,2023-09-12T11:29:27Z
2422,OPEN,Support for Lambda Functions in Singularity Field for Dynamic Container URLs,enhancement,2023-08-24T18:52:08Z
2420,OPEN,resolving python RecursionError,bug,2023-08-22T20:55:43Z
2418,OPEN,KeyError disrupt ruleorder silently,bug,2023-08-22T16:56:09Z
2415,OPEN,user input, persistence of locals(), and saving results from `onstart`,enhancement,2023-08-18T13:00:19Z
2414,OPEN,Podman support,enhancement,2023-09-20T09:18:43Z
2411,CLOSED,SACCT Error.,bug,2023-11-23T11:03:17Z
2410,OPEN,Profiles all use different resource names and formats for time,bug,2023-08-15T16:13:09Z
2409,OPEN,Announcement: Snakemake 8.0 released, including the removal of deprecated syntax,enhancement,2023-12-21T15:55:10Z
2407,OPEN,Interruptible rules,enhancement,2023-08-13T07:59:13Z
2406,OPEN,[packit] Pull from upstream failed for release v7.32.2,,2023-08-09T18:37:35Z
2405,OPEN,Documentation for providing an Executor plugin,enhancement,2023-08-08T18:05:29Z
2400,OPEN,Dynamically assign rule name,enhancement,2023-11-20T14:59:21Z
2398,OPEN,Print wildcards for "SyntaxError: Not all output, log and benchmark files of rule __ contain the same wildcards.",enhancement,2023-11-04T23:19:19Z
2392,OPEN,script loses track of source Snakefile when locally renaming rule imported from external module,bug,2023-08-04T11:04:42Z
2390,CLOSED,`TypeError` exception thrown with `--wms-monitor` pointing to Panoptes server,bug,2024-01-15T08:39:31Z
2389,CLOSED,Conda environments executing Python scripts require Python versions compatible with the workflow's Snakemake version,bug,2023-08-02T18:40:40Z
2387,OPEN,docs: reference to "report" in tutorial, but no mention of that earlier,bug,2023-08-02T13:29:09Z
2384,CLOSED,Is there a way to run a snakemake rule only after another rule has finished without linking them by input/output?,,2023-08-07T13:12:28Z
2383,OPEN,shadow: copy-minimal causes IsADirectoryError when input is directory,bug,2023-09-04T08:12:24Z
2381,OPEN,Kubernetes execution with GS remote fails to recognize remote "directory" and download it as a file,bug,2023-08-02T07:10:28Z
2380,CLOSED,Apptainer not recognised,bug,2023-08-21T09:07:18Z
2379,OPEN,Shadowing not working as intended with absolute paths,enhancement,2023-08-01T10:19:00Z
2378,CLOSED,SLURM: Do not test empty account,,2024-05-03T12:21:48Z
2376,OPEN,Wildcard constraints across modules,bug,2023-07-31T06:40:12Z
2374,OPEN,🐛 Nested config parsed as string when using --config,bug,2024-01-30T22:29:24Z
2373,OPEN,Adding a param with a lambda that accesses `resources` to a rule that consumes a pipe causes a resource error in the subsequent rule when run with `--slurm`,bug,2023-11-29T22:56:27Z
2369,CLOSED,Add minimum Python version requirement bump to changelog,,2023-08-02T06:22:13Z
2366,OPEN,Error caused by inconsistent parsing of wildcards containing commas in Snakemake,bug,2023-09-11T08:00:15Z
2363,OPEN,FTP.remote fails to download file.,bug,2023-08-19T12:24:50Z
2362,OPEN,OSError: [Errno 22] Invalid argument: '.../google/protobuf/internal' + error breaks snakemake env,bug,2023-07-18T11:39:34Z
2361,CLOSED,Attribute Error: 'str' object has no attribute 'get',bug,2023-07-20T09:22:03Z
2360,CLOSED,Google Cloud Life Sciences Deprecation,bug,2023-10-24T23:02:18Z
2357,CLOSED,Job continuation. Keep output files,enhancement,2023-07-28T11:11:16Z
2355,OPEN,Improve description of standard structure,bug,2023-07-14T09:13:21Z
2354,OPEN,Snakemake very slow on large workflow,bug,2023-09-20T01:42:08Z
2351,OPEN,support for ORAS artifacts as a form of storage,enhancement,2023-07-11T20:04:20Z
2350,OPEN,Snakefile is run a second time if rule contains `run` directive,bug,2024-03-06T08:50:37Z
2349,OPEN,Custom attributes?,bug,2023-07-10T22:36:54Z
2348,OPEN,Use envmodules in python based rules,enhancement,2023-07-10T08:39:28Z
2346,OPEN,Cluster execution without invoking snakemake on execution node,,2023-07-07T23:56:54Z
2345,OPEN,Clarify use of paths when specifying a conda environment (using a yml file),bug,2023-07-06T10:51:16Z
2343,CLOSED,Snakemake should not require mamba,bug,2023-07-25T09:03:33Z
2339,OPEN,Workflow not being executed in parallel on batch computing nodes (SLURM cluster grouped execution),,2024-05-06T09:34:24Z
2336,OPEN,Since 7.29.0, snakemake --bash-completion no longer works without a Snakefile,bug,2023-06-29T16:46:25Z
2334,CLOSED,singularity version issue,bug,2023-07-25T11:34:05Z
2331,OPEN,workflow.source_path does not work as expected,bug,2024-03-25T13:59:40Z
2330,OPEN,Existence of conda environment file is checked even though conda is not activated,bug,2023-06-28T13:12:56Z
2328,OPEN,Ignore updated input files,enhancement,2023-07-18T01:09:55Z
2327,OPEN,too many resources with grouped jobs,bug,2023-06-28T07:38:25Z
2326,CLOSED,v7.29 error in new profile yaml loading,,2023-06-29T06:58:29Z
